Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,EUR_price,Country,City,Number of views last 7 days
Flybridge,Storebro power boats,Used boat,1994.0,11.77,3.85,GRP,129350.0,Denmark, Nordjylland,156
Motor Yacht,Sea Ray power boats,Used boat,1992.0,15.0,4.65,GRP,135000.0,Germany, Hamburg ,110
Flybridge,Neptunus power boats,Used boat,1996.0,12.9,4.2,GRP,135000.0,Netherlands, Hellevoetsluis (NL),65
Center console boat,Innovazioni e Progetti power boats,Used boat,2005.0,12.66,4.15,GRP,135000.0,Italy, Campania ,65
Motor Yacht,Smelne power boats,Used boat,2000.0,12.65,4.0,Steel,139000.0,Netherlands, In verkoophaven,90
Motor Yacht,Proficiat power boats,Used boat,2006.0,11.75,3.84,Steel,139900.0,Germany, Hamburg ,114
Trawler,Vedette power boats,Used boat,2019.0,8.45,3.23,GRP,139500.0,Netherlands, In verkoophaven,111
Cabin Boat,Sea Ray power boats,new boat on order,2021.0,8.1,2.56,GRP,142900.0,Germany, Boote Pfister GmbH Schwebheim / Schweinfurt,75
Sport Boat,Cranchi power boats,Used boat,2019.0,7.85,2.49,PVC,142576.0,France,,40
Trawler,Marhen power boats,Used boat,2010.0,12.5,3.9,Steel,142500.0,Netherlands, Swifterbant,93
Motor Yacht,Cranchi power boats,new boat on order,2020.0,9.85,2.98,PVC,145800.0,France,,159
Fishing Boat,Robalo power boats,Used boat,2011.0,8.89,3.2,GRP,145000.0,Italy, Campania ,48
Center console boat,Fiart Mare power boats,Used boat,2009.0,11.56,3.88,GRP,145000.0,Italy, Campania ,31
Flybridge,Neptunus power boats,Used boat,1998.0,14.1,4.4,GRP,149000.0,Netherlands, In verkoophaven,140
Flybridge,Altena power boats,Used boat,1986.0,14.95,4.4,Steel,149000.0,Netherlands, In verkoophaven,93
Motor Yacht,Chris Craft power boats,Used boat,2017.0,8.13,2.6,GRP,148500.0,Netherlands, In verkoophaven,67
Motor Yacht,Sarnico power boats,Used boat,1998.0,16.7,4.38,GRP,149500.0,Netherlands,,83
Motor Yacht,Princess power boats,Used boat,1988.0,15.88,4.87,GRP,155000.0,Croatia (Hrvatska), onbekend,152
Motor Yacht,Valk power boats,Used boat,1993.0,14.25,4.2,Steel,159000.0,Netherlands, Amsterdam,66
Center console boat,Rapsody power boats,Used boat,2019.0,9.05,2.62,GRP,165000.0,Netherlands, In verkoophaven,79
Center console boat,Cantieri di Sarnico power boats,Used boat,2008.0,12.72,3.88,GRP,165000.0,Italy, Toscana ,42
Flybridge,Cranchi power boats,Used boat,2005.0,11.83,3.83,GRP,165000.0,Italy, Liguria ,89
Sport Boat,Ventus power boats,Used boat,2013.0,9.3,2.65,Wood,165000.0,France,,34
Motor Yacht,Valk power boats,Used boat,1993.0,14.9,4.3,Steel,169000.0,Netherlands, In verkoophaven,59
Flybridge,Hatteras power boats,Used boat,1987.0,14.8,4.88,GRP,168000.0,Italy, Sardegna ,48
Flybridge,President power boats,Used boat,1989.0,14.0,4.8,GRP,170000.0,Croatia (Hrvatska), onbekend,22
Motor Yacht,Super van Craft power boats,Used boat,1989.0,15.0,4.5,Steel,175000.0,Netherlands, Grou (NL),111
Motor Yacht,Sessa power boats,Used boat,2010.0,11.7,3.75,GRP,175000.0,Italy,,63
Motor Yacht,Bavaria power boats,Used boat,2012.0,11.89,3.99,GRP,179000.0,Croatia (Hrvatska), Croatia,137
Trawler,Menorquin power boats,Used boat,2002.0,15.95,5.0,GRP,179000.0,Netherlands, Lithoijen  (NL),70
Motor Yacht,Elling power boats,Used boat,1999.0,13.2,4.25,GRP,179000.0,Netherlands, In verkoophaven,118
Hardtop,Elan power boats,Used boat,2008.0,13.0,3.9,GRP,179000.0,Netherlands,,142
Motor Yacht,Atlantic Motor Yachts power boats,Used boat,1999.0,13.1,4.25,GRP,179000.0,Netherlands, In verkoophaven,105
Hardtop,Sessa power boats,Used boat,2010.0,11.5,3.75,GRP,180000.0,Italy, Campania ,61
Motor Yacht,Prestige Yachts power boats,Used boat,2008.0,11.92,3.89,GRP,180000.0,Netherlands,,105
Motor Yacht,Astondoa power boats,Used boat,1998.0,15.4,4.65,GRP,180000.0,Spain, Denia,101
Motor Yacht,Aquador power boats,Used boat,2018.0,9.15,3.1,GRP,187000.0,Finland, BorgÃ¥,120
Motor Yacht,Neptunus power boats,Used boat,2009.0,11.7,3.89,GRP,189000.0,Netherlands,,116
Trawler,Treffer power boats,Used boat,2006.0,13.3,4.3,Steel,189000.0,Netherlands, Op afspraak/on appointment/auf Termin.,70
Flybridge,Ferretti power boats,Used boat,2005.0,14.4,4.33,GRP,195000.0,Spain, Barcellona,129
Motor Yacht,Succes power boats,Used boat,2011.0,12.0,4.33,Steel,195000.0,Netherlands, In verkoophaven,93
Motor Yacht,van der Heijden power boats,Used boat,2000.0,14.95,4.5,Steel,197500.0,Netherlands, In verkoophaven,51
Motor Yacht,Baia power boats,Used boat,2001.0,14.7,4.2,GRP,200000.0,Croatia (Hrvatska), Dalmatia (HR),169
Flybridge,Aqualum power boats,Used boat,2007.0,13.4,4.25,GRP,200000.0,Italy,,126
Trawler,Topaz power boats,Used boat,1995.0,14.85,4.8,Steel,199900.0,Netherlands, Sneek,36
Motor Yacht,Valk power boats,Used boat,1999.0,14.9,4.45,Steel,209000.0,Netherlands, onbekend,134
Trawler,Valk power boats,Used boat,2010.0,15.2,4.55,Steel,205000.0,Netherlands, In verkoophaven,110
Flybridge,Cranchi power boats,Diesel,2004.0,15.72,4.33,GRP,204750.0,Denmark, Middelhavet,73
Trawler,Gruno power boats,Used boat,2008.0,13.4,4.1,Steel,210000.0,Netherlands, In verkoophaven,76
Motor Yacht,Ilver power boats,Used boat,2000.0,15.0,4.25,GRP,215000.0,Malta,,134
Hardtop,BÃ©nÃ©teau power boats,Used boat,2011.0,12.9,3.99,GRP,220000.0,Italy, Campania ,61
Flybridge,Riva power boats,Used boat,1997.0,17.28,4.75,GRP,220000.0,Netherlands, Altea (ES),137
Motor Yacht,Vacance power boats,Used boat,2004.0,13.5,4.2,Steel,225000.0,Germany, In verkoophaven,78
Motor Yacht,Apreamare power boats,Used boat,2004.0,12.08,4.48,GRP,225000.0,Netherlands,,89
Center console boat,Innovazioni e Progetti power boats,Used boat,2009.0,14.7,4.64,GRP,225000.0,Italy, Campania ,62
Motor Yacht,Cranchi power boats,Used boat,2017.0,9.99,3.53,GRP,230000.0,Italy, Campania ,83
Sport Boat,AXOPAR power boats,new boat on order,2020.0,11.5,3.35,GRP,240000.0,Poland, In Produktion,245
Trawler,BÃ©nÃ©teau power boats,Used boat,2009.0,12.17,4.17,GRP,240000.0,Turkey, Bodrum,78
Trawler,Valk power boats,Used boat,2004.0,16.8,4.35,Steel,249000.0,Netherlands, In verkoophaven,67
Motor Yacht,Fairline power boats,Used boat,2007.0,16.22,4.27,GRP,249000.0,Croatia (Hrvatska), Sibenic,133
Flybridge,Numarine power boats,Used boat,2007.0,15.42,4.45,GRP,249000.0,Croatia (Hrvatska), onbekend,90
Motor Yacht,Delphia power boats,new boat from stock,2020.0,12.75,4.26,GRP,251388.0,Poland, ab Werk,66
Flybridge,Doqueve power boats,Used boat,2007.0,15.4,4.6,GRP,259000.0,Spain, MURCIA (ES),71
Motor Yacht,Ferretti power boats,Used boat,2001.0,14.8,4.6,GRP,259000.0,Croatia (Hrvatska),,124
Motor Yacht,Elling power boats,Used boat,2004.0,14.95,4.25,GRP,265000.0,Netherlands, In verkoophaven,80
Motor Yacht,Pollard power boats,Used boat,2016.0,12.0,4.2,Steel,269500.0,Netherlands, In verkoophaven,95
Hardtop,Azimut power boats,Used boat,2008.0,12.97,4.22,GRP,269000.0,Italy, Campania ,145
Trawler,Pikmeerkruiser power boats,Used boat,2009.0,13.9,4.35,Steel,279000.0,Netherlands, Grou.,53
Motor Yacht,Absolute power boats,Used boat,2010.0,16.0,4.46,GRP,290000.0,Italy,,99
Motor Yacht,Cantieri Estensi power boats,Used boat,2010.0,12.05,4.3,GRP,290000.0,Italy, Campania ,96
Trawler,Aquanaut power boats,Used boat,2007.0,13.15,4.35,Steel,295000.0,Netherlands, In verkoophaven,138
Motor Yacht,VanDutch power boats,Used boat,2010.0,11.98,3.5,GRP,295000.0,Netherlands, In verkoophaven,130
Trawler,Grand Banks power boats,Used boat,1994.0,14.35,4.55,GRP,299000.0,Netherlands, Elders,97
Motor Yacht,Astondoa power boats,Used boat,2003.0,16.46,4.27,GRP,299000.0,Netherlands,,75
Trawler,Euroship power boats,Used boat,2009.0,13.85,4.46,Steel,319000.0,Netherlands, Elders,58
Motor Yacht,Jeanneau power boats,new boat on order,2020.0,12.33,3.8,GRP,317849.0,Germany, BÃ¶nningstedt,29
Trawler,Pikmeerkruiser power boats,Used boat,2015.0,12.9,4.05,Steel,325000.0,Netherlands, Grou,56
Trawler,Linssen power boats,Used boat,2001.0,13.72,4.3,GRP,325000.0,Netherlands, In verkoophaven,132
Motor Yacht,Fairline power boats,Used boat,2005.0,15.61,4.27,GRP,325000.0,Spain, Alicante,45
Hardtop,Greenline power boats,new boat from stock,2020.0,11.99,3.75,GRP,325284.44,Denmark, ab vÃ¦rft,71
Flybridge,Storebro power boats,Used boat,2004.0,14.2,4.25,GRP,325000.0,Denmark, Nordjylland,147
Sport Boat,Invictus power boats,new boat on order,2020.0,11.4,3.5,GRP,340500.0,Switzerland, Lake Constance ,162
House Boat,Overblue power boats,Used boat,2016.0,13.5,4.2,GRP,359000.0,Croatia (Hrvatska), In verkoophaven,104
Flybridge,Sealine power boats,Used boat,2008.0,15.8,4.52,GRP,385000.0,Netherlands, REGIO ROERMOND,59
Hardtop,Apreamare power boats,Used boat,2004.0,16.2,5.6,GRP,380000.0,Italy, Campania ,71
Motor Yacht,Salpa power boats,new boat from stock,2019.0,11.95,3.85,GRP,417235.5,Switzerland, Lake Constance ,198
Motor Yacht,Elling power boats,Used boat,2011.0,14.95,4.25,GRP,415000.0,Netherlands, In verkoophaven,67
Hardtop,Sunseeker power boats,Used boat,2007.0,16.32,4.57,GRP,429000.0,Italy,,78
Hardtop,Marex power boats,new boat from stock,2019.0,11.49,3.49,GRP,490050.0,Switzerland, Goldach,271
Trawler,Super Lauwersmeer power boats,Used boat,2017.0,14.2,4.36,Steel,453000.0,Netherlands, In verkoophaven,136
Trawler,van der Heijden power boats,Used boat,2009.0,18.0,5.3,Steel,475000.0,Netherlands, onbekend,107
Flybridge,Sessa power boats,Used boat,2010.0,16.36,4.7,GRP,535000.0,Netherlands,,95
Motor Yacht,Haines power boats,Used boat,2018.0,12.2,4.06,GRP,529000.0,Netherlands, In verkoophaven,79
Sport Boat,Cranchi power boats,new boat from stock,2020.0,11.85,3.53,GRP,576384.0,Austria, Linz,214
Motor Yacht,Abacus power boats,Used boat,2010.0,18.66,5.0,GRP,598000.0,Italy,,55
Hardtop,Mochi Craft power boats,Used boat,2008.0,16.46,4.9,GRP,610000.0,Italy, Mar Tirreno,41
Trawler,Linssen power boats,Used boat,2005.0,14.95,4.88,Steel,649500.0,Netherlands, Regio Roermond,88
Motor Yacht,Riva power boats,Used boat,2008.0,17.57,4.64,GRP,745000.0,Netherlands,,122
Motor Yacht,Galeon power boats,Used boat,2009.0,19.96,5.22,GRP,790000.0,Netherlands,,73
Flybridge,Aicon power boats,Used boat,2007.0,19.99,5.31,GRP,830000.0,Italy, Veneto ,56
Flybridge,Prestige Yachts power boats,new boat from stock,2020.0,16.11,4.49,GRP,925105.0,Netherlands,,108
Motor Yacht,Riviera power boats,Used boat,2017.0,17.29,4.88,GRP,920000.0,France, Frankrijk (France),32
Flybridge,Prestige Yachts power boats,new boat from stock,2020.0,18.7,4.84,GRP,906100.0,Netherlands,,63
Motor Yacht,Cranchi power boats,new boat from stock,2018.0,15.82,4.67,GRP,1027774.0,Netherlands, onbekend,66
Hardtop,Pershing power boats,Used boat,2009.0,20.04,5.0,GRP,1150000.0,Netherlands,,73
Flybridge,Prestige Yachts power boats,new boat from stock,2019.0,18.7,4.84,GRP,1150000.0,Netherlands,,93
Flybridge,Prestige Yachts power boats,Used boat,2016.0,21.46,5.33,GRP,1385000.0,Netherlands,,85
Motor Yacht,BLUEGAME power boats,new boat from stock,2019.0,18.8,5.38,GRP,1785000.0,Netherlands,,39
Motor Yacht,Sanlorenzo power boats,new boat from stock,2019.0,23.75,6.6,GRP,2620000.0,Netherlands,,101
Motor Yacht,BLUEGAME power boats,new boat from stock,2020.0,21.86,5.6,GRP,3447580.0,Netherlands,,95
Motor Yacht,Riva power boats,new boat from stock,2020.0,20.54,5.29,GRP,3410000.0,Netherlands,,285
Motor Yacht,Sunseeker power boats,Used boat,2013.0,28.15,6.5,GRP,3390000.0,Spain, Alicante,121
Motor Yacht,Sanlorenzo power boats,Used boat,2008.0,26.75,6.75,GRP,3200000.0,Croatia (Hrvatska),,56
Mega Yacht,Ferretti power boats,Used boat,2013.0,29.7,7.08,GRP,5500000.0,Portugal, Vilamoura,106
Motor Yacht,Sanlorenzo power boats,Used boat,2016.0,29.1,6.75,GRP,5400000.0,Netherlands,,105
Motor Yacht,Sanlorenzo power boats,new boat from stock,2020.0,23.75,6.6,GRP,5208850.0,Netherlands,,110
Mega Yacht,Sanlorenzo power boats,Used boat,2016.0,36.5,7.6,GRP,10500000.0,Netherlands,,220
Mega Yacht,Sunseeker power boats,Used boat,2012.0,40.05,8.09,GRP,9250000.0,Netherlands,,219
Mega Yacht,Sanlorenzo power boats,Used boat,2019.0,31.08,7.06,GRP,7900000.0,Netherlands,,122
Motor Yacht,Sanlorenzo power boats,Used boat,2016.0,26.76,6.35,GRP,4800000.0,Netherlands,,108
Mega Yacht,Palmer Johnson power boats,Used boat,2005.0,36.5,7.1,Aluminium,4800000.0,Netherlands,,157
Motor Yacht,Sanlorenzo power boats,Used boat,2019.0,23.75,6.6,GRP,4395000.0,Netherlands,,94
Motor Yacht,Sanlorenzo power boats,Used boat,2019.0,24.64,5.74,GRP,4100000.0,Netherlands,,102
Motor Yacht,Pershing power boats,Used boat,2014.0,24.97,5.5,GRP,3750000.0,Netherlands,,149
Motor Yacht,Riva power boats,Used boat,2010.0,28.0,6.75,GRP,2950000.0,Netherlands,,166
Motor Yacht,Monte Carlo power boats,Used boat,2018.0,24.62,6.15,GRP,2950000.0,Netherlands,,113
Catamaran,Sunreef power boats,Used boat,2013.0,21.4,9.3,GRP,2200000.0,Croatia (Hrvatska), Dalmatia (HR),96
Motor Yacht,Prestige Yachts power boats,new boat from stock,2019.0,21.46,5.33,GRP,1985000.0,Netherlands,,70
Motor Yacht,Lengers power boats,Used boat,2015.0,18.4,5.4,Aluminium,1875000.0,Netherlands,,93
Motor Yacht,Riva power boats,Used boat,2014.0,20.82,5.45,GRP,1695000.0,Netherlands,,173
Motor Yacht,BLUEGAME power boats,new boat from stock,2019.0,18.8,5.38,GRP,1685000.0,Netherlands,,75
Flybridge,Prestige Yachts power boats,new boat from stock,2019.0,19.03,5.15,GRP,1603049.0,Netherlands,,74
Motor Yacht,Overmarine power boats,Used boat,2008.0,25.07,5.9,GRP,1500000.0,Germany, Mittelmeer,65
Center console boat,Riva power boats,Used boat,2009.0,20.55,5.45,GRP,1450000.0,Italy, Campania ,142
Flybridge,Cranchi power boats,new boat from stock,2017.0,18.52,4.85,GRP,1402995.0,Netherlands, onbekend,100
Motor Yacht,Cranchi power boats,new boat from stock,2017.0,18.52,4.85,GRP,1371535.0,Netherlands, onbekend,83
Motor Yacht,Fairline power boats,Used boat,2010.0,24.4,5.7,GRP,1350000.0,Netherlands,,72
Motor Yacht,Sessa power boats,Used boat,2016.0,21.03,5.07,GRP,1300000.0,France,,79
Flybridge,Wim van der Valk power boats,Used boat,2009.0,24.5,6.2,Steel,1295000.0,Germany, a,118
Flybridge,Cranchi power boats,new boat from stock,2018.0,17.2,4.85,GRP,1232966.0,Netherlands, onbekend,71
Trawler,Cranchi power boats,new boat from stock,2020.0,17.0,4.95,GRP,1203950.0,Netherlands, In verkoophaven,96
Motor Yacht,Cranchi power boats,new boat from stock,2017.0,18.52,4.85,GRP,1184590.0,Netherlands, onbekend,110
Motor Yacht,Cranchi power boats,new boat from stock,2017.0,17.2,4.85,GRP,1095500.0,Netherlands, onbekend,98
Motor Yacht,VanDutch power boats,Used boat,2018.0,16.48,4.5,GRP,1095000.0,Netherlands,,97
Flybridge,Cranchi power boats,new boat from stock,2018.0,15.82,4.67,GRP,1059295.0,Netherlands, onbekend,149
Trawler,Valk power boats,Used boat,2005.0,20.0,5.0,Steel,995000.0,Netherlands, onbekend,93
Flybridge,Prestige Yachts power boats,Used boat,2018.0,16.11,4.49,GRP,960000.0,Netherlands,,143
Flybridge,Selene power boats,Used boat,2009.0,21.52,5.69,GRP,950000.0,Netherlands, In verkoophaven,54
Flybridge,Mochi Craft power boats,Used boat,2007.0,19.53,6.13,GRP,945000.0,France, onbekend,67
Motor Yacht,Riva power boats,Used boat,2017.0,11.88,3.5,GRP,895000.0,Netherlands,,241
Motor Yacht,BLUEGAME power boats,new boat from stock,2019.0,12.98,4.37,GRP,885450.0,Netherlands,,108
Flybridge,Cranchi power boats,Used boat,2018.0,15.82,4.67,GRP,850000.0,Croatia (Hrvatska), onbekend,74
Motor Yacht,Sunseeker power boats,Used boat,2000.0,26.56,5.95,GRP,849000.0,Croatia (Hrvatska), onbekend,71
Flybridge,Cranchi power boats,Used boat,2018.0,13.99,4.67,GRP,800000.0,Italy, Campania ,142
Hardtop,Jetten power boats,Used boat,2016.0,15.15,4.88,Steel,795000.0,Netherlands,,143
Hardtop,Riva power boats,Used boat,2000.0,22.37,5.4,GRP,750000.0,Italy, Sardegna ,92
Flybridge,Maiora power boats,Used boat,2001.0,24.0,5.9,GRP,750000.0,Netherlands, Willemstad,137
Motor Yacht,Princess power boats,Used boat,2016.0,14.6,4.06,GRP,750000.0,Netherlands, Zeeland,182
Motor Yacht,Riva power boats,Used boat,2013.0,13.4,3.88,GRP,750000.0,Netherlands,,273
Motor Yacht,Riviera power boats,Used boat,2019.0,15.23,4.61,GRP,749500.0,Sweden, Area Gothenburg,111
Trawler,Linssen power boats,Used boat,2005.0,14.95,4.88,Steel,749000.0,Netherlands, Bestboats Roermond,92
Hardtop,Sunseeker power boats,Used boat,2013.0,18.36,4.7,GRP,699000.0,Spain, Mallorca ,93
Motor Yacht,Riva power boats,Used boat,2012.0,16.12,4.61,GRP,695000.0,Netherlands,,166
Motor Yacht,van der Heijden power boats,Used boat,2015.0,15.68,4.85,Aluminium,695000.0,Netherlands,,147
Motor Yacht,Riva power boats,Used boat,2012.0,13.4,3.88,GRP,695000.0,Netherlands,,350
Trawler,Cranchi power boats,new boat from stock,2020.0,13.8,4.37,GRP,661870.0,Netherlands, onbekend,109
Motor Yacht,Prestige Yachts power boats,Used boat,2016.0,14.96,4.54,GRP,656920.0,Netherlands,,45
Hardtop,Jaguar power boats,Used boat,2010.0,23.94,5.8,GRP,600000.0,Italy, Liguria ,87
Motor Yacht,Rapsody power boats,Used boat,2008.0,16.65,4.85,GRP,595000.0,France,,135
Motor Yacht,Riva power boats,Used boat,2007.0,16.12,4.64,GRP,595000.0,Netherlands,,135
Flybridge,Astondoa power boats,Used boat,2001.0,22.2,5.5,GRP,590000.0,Netherlands,,60
Motor Yacht,Elling power boats,Used boat,2017.0,14.95,4.25,GRP,585000.0,Netherlands,,179
Flybridge,Princess power boats,Used boat,2002.0,20.97,5.08,GRP,580000.0,Finland, Turku (FI),96
Trawler,Apreamare power boats,Used boat,2007.0,15.5,4.9,GRP,546000.0,Spain, Barcelona,60
Flybridge,Prestige Yachts power boats,new boat from stock,2020.0,13.06,4.1,GRP,553576.0,Netherlands,,49
Trawler,Verhoeven power boats,Used boat,2005.0,21.0,5.0,Steel,545000.0,Netherlands, In verkoophaven,93
Trawler,Linssen power boats,Used boat,2012.0,14.45,4.4,Steel,545000.0,Netherlands, In verkoophaven,153
Trawler,Valk power boats,Used boat,2006.0,17.3,4.85,Steel,539000.0,Netherlands, onbekend,83
Trawler,Integrity power boats,Used boat,2016.0,14.4,4.35,GRP,519870.0,Netherlands, Holland,66
Motor Yacht,Cranchi power boats,Used boat,2018.0,13.82,4.06,GRP,495737.0,Netherlands,,154
Trawler,Zijlmans power boats,Used boat,2008.0,17.0,4.9,Steel,495000.0,Netherlands, In verkoophaven,140
Motor Yacht,Altena power boats,Used boat,1998.0,16.23,4.8,Steel,445000.0,United Kingdom,,67
Motor Yacht,Bertram power boats,Used boat,2000.0,16.46,5.16,GRP,470000.0,Croatia (Hrvatska), onbekend,68
Hardtop,Alfamarine power boats,Used boat,2008.0,18.96,4.6,GRP,470000.0,Italy, Toscana ,47
Motor Yacht,Fjord power boats,new boat from stock,2020.0,11.63,3.64,GRP,460428.0,France,,135
Motor Yacht,Bavaria power boats,Used boat,2016.0,13.22,4.41,GRP,449000.0,Croatia (Hrvatska), onbekend,78
Flybridge,Apreamare power boats,Used boat,2013.0,14.97,4.8,GRP,440000.0,Italy, Campania ,89
Flybridge,Azimut power boats,Used boat,2008.0,17.48,4.8,GRP,430000.0,Italy, Campania ,66
Motor Yacht,Sunseeker power boats,Used boat,2009.0,17.35,4.6,GRP,425000.0,Netherlands,,128
Flybridge,Ferretti power boats,Used boat,2002.0,18.3,5.25,GRP,400000.0,Italy, Campania ,73
Hardtop,Rizzardi power boats,Used boat,2010.0,16.0,4.4,GRP,400000.0,Italy, Campania ,65
Motor Yacht,Maiora power boats,Used boat,1993.0,23.0,5.8,GRP,400000.0,Netherlands,,127
Motor Yacht,Marine Projects power boats,Used boat,1994.0,20.9,5.08,GRP,400000.0,Estonia, Ostsee ,50
Motor Yacht,Sealine power boats,Used boat,2013.0,15.5,4.48,GRP,399500.0,Greece, onbekend,55
Trawler,Grand Banks power boats,Used boat,2003.0,13.11,4.0,GRP,398000.0,Netherlands, In verkoophaven,108
Trawler,Smelne power boats,Used boat,2011.0,13.88,4.42,Steel,397500.0,Netherlands, In verkoophaven,60
Motor Yacht,Pirelli power boats,new boat from stock,2020.0,13.1,4.1,PVC,396000.0,France,,115
Motor Yacht,Riva power boats,Used boat,2013.0,10.07,2.8,GRP,395000.0,Netherlands,,115
Trawler,Altena power boats,Used boat,1999.0,14.99,4.85,Steel,389000.0,Netherlands, In verkoophaven,118
Motor Yacht,Prestige Yachts power boats,Used boat,2014.0,13.96,4.3,GRP,389000.0,Netherlands, Stevensweert (NL),83
Motor Yacht,Princess power boats,Used boat,2004.0,20.33,5.08,GRP,379000.0,Greece, Griechenland,107
Trawler,Treffer power boats,Used boat,2019.0,14.3,4.35,Steel,379000.0,Netherlands, onbekend,27
Motor Yacht,Fairline power boats,Used boat,2000.0,20.37,5.23,GRP,375000.0,Netherlands,,126
Motor Yacht,Fairline power boats,Used boat,1993.0,19.02,5.28,GRP,369000.0,France, Francia Mediterraneo,98
Trawler,Linssen power boats,Used boat,2011.0,13.9,4.35,Steel,368750.0,Netherlands, Bestboats Roermond,54
Trawler,Linssen power boats,Used boat,2015.0,13.15,4.3,Steel,365000.0,Netherlands, In verkoophaven,137
Trawler,Linden power boats,Used boat,2007.0,14.5,4.4,Steel,355000.0,Netherlands, In verkoophaven,42
Motor Yacht,Sessa power boats,Used boat,2009.0,14.0,4.0,GRP,355000.0,Netherlands,,78
Flybridge,Ferretti power boats,Used boat,2005.0,17.86,5.25,GRP,350000.0,Italy,,61
Classic,Zijlmans power boats,new boat from stock,2007.0,18.3,4.9,Steel,349500.0,Netherlands, In verkoophaven,80
Trawler,Pacific power boats,Used boat,2002.0,15.5,4.7,Steel,349000.0,Netherlands, In verkoophaven,92
Motor Yacht,Dalla Pieta power boats,Used boat,2007.0,18.51,4.94,GRP,349000.0,Croatia (Hrvatska), In verkoophaven,19
Hardtop,Fiart Mare power boats,Used boat,2010.0,14.33,4.41,GRP,340000.0,Italy, Campania ,149
Flybridge,Aicon power boats,Used boat,2007.0,17.4,4.8,GRP,340000.0,Italy, Toscana ,63
Trawler,Linssen power boats,Used boat,2014.0,12.85,4.3,Steel,339500.0,Netherlands, Bestboats Roermond,111
Motor Yacht,van der Heijden power boats,Used boat,2006.0,14.99,4.5,Steel,329000.0,Netherlands, In verkoophaven,41
Motor Yacht,VanDutch power boats,Used boat,2013.0,11.98,3.5,GRP,325000.0,France, onbekend,67
Flybridge,Riviera power boats,Used boat,2003.0,16.36,4.85,GRP,320000.0,France, Frankrijk (France),67
Flybridge,Canados power boats,Used boat,1990.0,25.18,6.5,GRP,320000.0,Italy,,92
Motor Yacht,Storebro power boats,Used boat,1994.0,15.2,4.55,GRP,320000.0,Germany, TravemÃ¼nde,142
Motor Yacht,Ocean Master (US) power boats,Used boat,2008.0,10.2,3.0,GRP,341550.0,Switzerland, Luganersee ,89
Motor Yacht,Jetten power boats,Used boat,2012.0,13.5,4.5,Steel,315000.0,Netherlands, BelgiÃ« - Omgeving Brugge,149
Motor Yacht,Apreamare power boats,Used boat,2007.0,13.21,4.7,GRP,310000.0,Italy, Campania ,52
Motor Yacht,Uniesse power boats,Used boat,2005.0,16.2,4.5,GRP,310000.0,Malta,,108
Motor Yacht,Cranchi power boats,new boat from stock,2019.0,11.7,3.53,GRP,301762.0,Netherlands, onbekend,94
Flybridge,Rodman power boats,Used boat,2007.0,17.39,4.9,GRP,300000.0,Italy, Campania ,45
Motor Yacht,Rizzardi power boats,Used boat,2008.0,14.8,4.4,GRP,300000.0,Italy,,75
Motor Yacht,Ijlstervlet power boats,Used boat,2017.0,11.85,3.95,Steel,298000.0,Netherlands, Lemmer,46
Motor Yacht,Rapsody power boats,Used boat,2004.0,14.9,4.18,GRP,298000.0,Netherlands, In verkoophaven,75
Motor Yacht,Sealine power boats,Used boat,2011.0,14.33,4.48,GRP,298000.0,Finland, NÃ¥dendal,110
Motor Yacht,President power boats,Used boat,1995.0,19.0,4.82,GRP,295000.0,Netherlands,,76
Flybridge,Bertram power boats,Used boat,2007.0,11.9,4.0,GRP,295000.0,Netherlands,,43
Flybridge,AICON Yachts power boats,Used boat,2008.0,17.66,4.8,GRP,295000.0,Netherlands,,121
Motor Yacht,Princess power boats,Used boat,2008.0,14.7,4.01,GRP,295000.0,Netherlands,,160
Runabout,Menorquin power boats,Used boat,2003.0,15.95,5.0,GRP,290000.0,Italy, Toscana ,63
Flybridge,Posillipo power boats,Used boat,1996.0,21.63,5.3,GRP,290000.0,Italy, I West,45
Motor Yacht,Sunseeker power boats,Used boat,2006.0,17.04,4.6,GRP,280000.0,Spain, Mallorca ,231
Motor Yacht,Cranchi power boats,Used boat,2018.0,11.7,3.53,GRP,278000.0,Croatia (Hrvatska), onbekend,71
Trawler,van der Heijden power boats,Used boat,2005.0,14.95,4.5,Steel,275000.0,Netherlands, In verkoophaven,53
Motor Yacht,Fairline power boats,Used boat,2008.0,15.0,4.0,GRP,270000.0,Spain, Alicante,42
Flybridge,Sealine power boats,Used boat,2010.0,14.1,4.48,GRP,270000.0,Croatia (Hrvatska), Dalmatia (HR),54
Hardtop,Pershing power boats,Used boat,2002.0,16.7,4.7,GRP,270000.0,Italy, Campania ,115
Hardtop,Sunseeker power boats,Used boat,2005.0,17.35,4.57,GRP,270000.0,Italy,,119
Motor Yacht,Jeanneau power boats,new boat on order,2020.0,11.47,3.62,GRP,265727.0,Germany, BÃ¶nningstedt,45
House Boat,Hemiksem power boats,Used boat,1966.0,46.91,5.08,Steel,265000.0,Belgium, Bruxelles - Ittre ,174
Motor Yacht,Galeon power boats,Used boat,2011.0,13.6,3.9,GRP,265000.0,Spain, INFO DD-YACHTING,97
Hardtop,Rio power boats,Used boat,2012.0,13.23,4.0,GRP,260000.0,Italy, Campania ,48
Trawler,Tryvia power boats,Used boat,2011.0,13.45,4.25,Steel,259500.0,Netherlands, Bestboats Roermond,107
