Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,EUR_price,Country,City,Number of views last 7 days
Center console boat,Morningstar power boats,new boat from stock,2019.0,5.0,2.0,Aluminium,17226.0,Switzerland, VierwaldstÃ¤ttersee ,149
Trawler,GioMare power boats,Used boat,1995.0,5.7,2.8,GRP,16900.0,Rovinij,,172
Bowrider,Bella power boats,Display Model,2019.0,5.01,2.01,GRP,18077.4,Switzerland, VierwaldstÃ¤ttersee ,339
Sport Boat,Yamarin power boats,new boat from stock,2020.0,5.53,2.24,GRP,16870.0,Germany, Nordrhein-Westfalen ,127
Fishing Boat,Lund Boats power boats,new boat from stock,2020.0,4.95,2.03,Aluminium,18018.0,Switzerland, Lake Geneva ,241
Trawler,Pedro power boats,Used boat,1984.0,8.6,2.8,Steel,17500.0,Netherlands, In verkoophaven,149
Center console boat,Clear power boats,new boat from stock,2020.0,6.15,2.27,GRP,18750.0,Germany, Lake Constance ,149
Fishing Boat,Smartliner power boats,new boat from stock,2020.0,6.4,2.25,GRP,19899.0,Switzerland, Lake Geneva ,185
Runabout,Safter Marine power boats,new boat from stock,2020.0,5.0,1.9,GRP,19701.0,Switzerland, Zugersee ,401
Sport Boat,Yamarin power boats,new boat from stock,2020.0,4.86,1.96,Aluminium,18515.0,Germany, Nordrhein-Westfalen ,145
Trawler,Beachcraft power boats,Used boat,1981.0,8.2,3.1,Steel,19500.0,Netherlands, In verkoophaven,118
Cabin Boat,Waterland power boats,Used boat,1975.0,8.2,3.1,GRP,19500.0,Netherlands, In verkoophaven,101
Cabin Boat,KOK power boats,Used boat,2005.0,6.1,2.25,Steel,19500.0,Netherlands, In verkoophaven,78
Cabin Boat,Sea Ray power boats,Used boat,1996.0,8.95,2.59,GRP,19500.0,Steinwiesen,,778
Cabin Boat,Bayliner power boats,Unleaded,2003.0,5.89,2.37,GRP,19490.0,Germany, MÃ¶lln,261
Pontoon Boat,MÃ¤ndli power boats,new boat from stock,2020.0,9.0,1.7,Wood,20592.0,Switzerland, Beringen,235
Motor Yacht,Crownline power boats,Used boat,1997.0,7.5,2.59,GRP,19900.0,Netherlands, Lemmer,122
Pilothouse,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020.0,5.75,2.54,GRP,20499.0,Germany, Kieler Bucht mit Fehmarn ,153
Sport Boat,Sting power boats,new boat from stock,2018.0,6.08,2.37,GRP,20490.0,Germany, Nordrhein-Westfalen ,115
Center console boat,Sting power boats,new boat from stock,2020.0,5.3,2.15,GRP,21888.9,Switzerland, VierwaldstÃ¤ttersee ,118
Bowrider,Cranchi power boats,Used boat,1993.0,7.6,2.47,GRP,21780.0,Switzerland, Luganersee ,415
Pilothouse,Atlantic Marine power boats,new boat from stock,2019.0,6.6,2.47,GRP,22770.0,Switzerland, Walensee ,394
Sport Boat,Yamarin power boats,new boat from stock,2019.0,5.67,2.25,GRP,21090.0,Germany, auf Anfrage,135
Cabin Boat,Kelt power boats,Used boat,1992.0,8.8,2.98,GRP,21000.0,Netherlands, In verkoophaven,146
Motor Yacht,Tullio Abbate power boats,Unleaded,1991.0,10.8,2.5,GRP,22000.0,Germany, Konstanz,373
Deck Boat,Yamarin power boats,new boat from stock,2020.0,5.28,2.09,Aluminium,22800.0,Germany, Nordrhein-Westfalen ,114
Pilothouse,Jeanneau power boats,new boat on order,2020.0,5.79,2.46,GRP,22765.0,Germany, BÃ¶nningstedt,49
Motor Yacht,Master power boats,new boat on order,2020.0,5.42,2.32,GRP,22680.0,France,,142
Deck Boat,Yamarin power boats,new boat from stock,2020.0,6.25,2.3,GRP,22520.0,Germany, auf Anfrage,107
Bowrider,Nordkapp power boats,new boat from stock,2017.0,6.06,2.2,GRP,23640.0,Germany, Grevenbroich,109
Trawler,Cascaruda power boats,Diesel,1982.0,9.3,3.0,Steel,23500.0,Germany, Potsdam,164
Sport Boat,Wellcraft power boats,Used boat,1992.0,8.35,2.5,GRP,24750.0,Switzerland, Lake of Zurich ,420
Classic,Schneiter power boats,Used boat,1965.0,6.0,1.9,Wood,24750.0,Switzerland, Thunersee ,284
Fishing Boat,The Captains power boats,new boat on order,2020.0,6.6,1.85,GRP,24750.0,Switzerland, Lake Constance ,888
Deck Boat,AMT power boats,new boat from stock,2019.0,5.6,2.25,GRP,23290.0,Germany, auf Anfrage,84
Fishing Boat,ERC power boats,new boat from stock,2020.0,5.3,2.0,GRP,25690.5,Switzerland, Lago Maggiore ,198
Pontoon Boat,Cantieri Nautici Ferrario power boats,new boat from stock,2018.0,6.5,2.4,GRP,24900.0,Italy, Dormelletto ,110
Motor Yacht,Bella power boats,Used boat,2008.0,6.5,2.42,GRP,24900.0,Croatia (Hrvatska), In verkoophaven,119
Sport Boat,Saver power boats,Used boat,2001.0,7.45,2.64,GRP,25000.0,Italy, Toscana ,94
Sport Boat,Bayliner power boats,Used boat,1991.0,9.81,3.41,GRP,25000.0,Slovenia,,197
Cabin Boat,Scand power boats,Used boat,1983.0,7.62,2.8,GRP,25000.0,Netherlands, onbekend,160
Pontoon Boat,Saver power boats,new boat from stock,2020.0,6.6,2.45,GRP,26800.0,Italy, Friuli Venezia Giulia ,94
Center console boat,Morningstar power boats,new boat from stock,2019.0,5.0,2.0,Aluminium,28611.0,Switzerland, VierwaldstÃ¤ttersee ,158
Deck Boat,Sessa power boats,new boat from stock,2020.0,6.1,2.33,GRP,26620.0,Italy, Toscana ,224
Bowrider,Bella power boats,Display Model,2018.0,5.3,2.2,GRP,28413.0,Switzerland, VierwaldstÃ¤ttersee ,198
Center console boat,Jeanneau power boats,new boat from stock,2020.0,6.77,2.48,GRP,26537.0,Germany, BÃ¶nningstedt,55
Fishing Boat,Smartliner power boats,new boat from stock,2020.0,6.28,2.24,GRP,28908.0,Switzerland, Lake Geneva ,228
Working Boat,Viking power boats,new boat from stock,2020.0,7.52,2.43,Aluminium,27900.0,Germany, Erftstadt,227
Sport Boat,Sting power boats,new boat from stock,2016.0,6.08,2.37,GRP,27900.0,Germany, Grevenbroich,111
Pilothouse,Marinello power boats,new boat from stock,2018.0,6.5,2.48,GRP,27900.0,Germany, Stadtprozelten,308
Working Boat,Viking power boats,new boat from stock,2020.0,7.65,2.48,Aluminium,28500.0,Germany, Erftstadt,252
Cabin Boat,Skarpnes power boats,Used boat,1984.0,9.1,3.3,GRP,29900.0,Netherlands, In verkoophaven,94
Fishing Boat,FÃ¼llemann power boats,new boat from stock,2018.0,6.03,1.9,GRP,32402.7,Switzerland, Lake Constance ,164
Sport Boat,Gobbi power boats,Unleaded,1996.0,8.73,2.98,GRP,32000.0,Germany, Zadar,64
Cabin Boat,Bella power boats,Used boat,2005.0,6.5,2.42,GRP,34155.0,Switzerland, Luganersee ,535
Trawler,Pedro power boats,Used boat,1982.0,8.6,2.8,Steel,32500.0,Netherlands, In verkoophaven,146
Runabout,AYROS power boats,new boat from stock,2019.0,6.99,2.55,GRP,32500.0,Italy, Lombardia - Trentino Alto Adige ,81
Sport Boat,IRON power boats,new boat on order,2020.0,6.52,2.44,GRP,33000.0,Germany, Kiel,87
Sport Boat,Cranchi power boats,Used boat,2002.0,8.5,3.0,GRP,33000.0,Italy, Mar Ligure,187
Deck Boat,Sunchaser power boats,Used boat,2019.0,6.17,2.5,Aluminium,34000.0,Italy, Lago Maggiore ,80
Fishing Boat,Osprey power boats,new boat from stock,2000.0,8.0,2.8,GRP,34900.0,Netherlands, In verkoophaven,128
Pilothouse,Jeanneau power boats,new boat from stock,2019.0,6.4,2.45,GRP,34828.0,Switzerland, Lake Constance ,220
Sport Boat,Crownline power boats,Used boat,2009.0,6.83,2.59,GRP,35000.0,Italy, lombardia,160
Motor Yacht,Sea Ray power boats,Used boat,1990.0,9.3,3.2,GRP,35000.0,Germany, Brandenburg,158
Motor Yacht,Gillissen power boats,Used boat,1968.0,9.7,3.3,Steel,35000.0,Netherlands, In verkoophaven,49
Sport Boat,Bella power boats,new boat from stock,2019.0,6.58,2.38,GRP,37570.5,Switzerland, VierwaldstÃ¤ttersee ,283
Center console boat,Jeanneau power boats,new boat from stock,2020.0,7.74,2.52,GRP,36414.0,Germany, BÃ¶nningstedt,65
Bowrider,Nordkapp power boats,new boat from stock,2019.0,6.06,2.2,GRP,40054.409999999996,Switzerland, VierwaldstÃ¤ttersee ,172
Pilothouse,AMT power boats,new boat from stock,2020.0,6.4,2.4,GRP,37000.0,Germany, auf Anfrage,109
Pontoon Boat,Saver power boats,Used boat,2020.0,7.75,2.55,GRP,38000.0,Italy, Friuli Venezia Giulia ,131
Pilothouse,Jeanneau power boats,new boat on order,2020.0,7.43,2.81,GRP,38794.0,Germany, BÃ¶nningstedt,60
Pilothouse,Yamarin power boats,new boat from stock,2020.0,6.05,2.32,Aluminium,39000.0,Germany, Nordrhein-Westfalen ,164
Cabin Boat,Biam power boats,Used boat,1995.0,8.35,2.85,GRP,39750.0,Netherlands, In verkoophaven,144
Fishing Boat,Ocean Master (US) power boats,Used boat,1992.0,9.24,3.1,GRP,42372.0,Switzerland, Lago Maggiore ,359
Sport Boat,Marinello power boats,new boat from stock,2010.0,6.8,2.49,GRP,39500.0,Germany, Hock Boote,66
Motor Yacht,Four Winns power boats,Used boat,2019.0,6.1,2.54,GRP,39999.0,Germany, IM VORLAUF,126
Pilothouse,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020.0,7.76,2.85,GRP,40999.0,Germany, Kieler Bucht mit Fehmarn ,208
Sport Boat,Scarani power boats,Used boat,2005.0,8.8,3.0,GRP,40800.0,Switzerland, Lago Maggiore ,293
Pilothouse,AMT power boats,Display Model,2017.0,5.5,2.24,GRP,43550.1,Switzerland, VierwaldstÃ¤ttersee ,181
Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020.0,7.88,2.55,GRP,42499.0,Germany, Kieler Bucht mit Fehmarn ,176
Deck Boat,Sessa power boats,new boat from stock,2020.0,7.0,2.5,GRP,42300.0,Italy, Toscana ,200
Motor Yacht,Airon Marine power boats,Used boat,2002.0,9.68,3.02,PVC,43000.0,France,,161
Pontoon Boat,Saver power boats,Used boat,2020.0,9.0,2.72,GRP,44000.0,Italy, Friuli Venezia Giulia ,167
Passenger boat,Invictus power boats,new boat from stock,2019.0,7.25,2.5,GRP,45000.0,Switzerland, Lake Geneva ,170
